time,cpd,fmax,total_wirelength,average_net_length,estimate_distance,rent_exp
166.58,23.2125,43.0803,91552,11.0798,239036,0.51
2298.06,27.0821,36.9248,246330,23.9831,640760,0.63
4549.24,27.3197,36.6036,336301,31.2112,697831,0.65
42867.76,33.8107,29.5764,993461,78.8524,1698747,0.72
82.64,22.389,44.6647,69041,8.95938,182752,0.47
51.98,20.845,47.9731,63142,8.48455,153036,0.44
69.67,21.4516,46.6166,68995,9.07829,171913,0.46
52.21,20.255,49.3705,62127,8.69274,150332,0.42
1520.07,26.4005,37.8781,224442,22.0517,586971,0.62
553.23,23.0041,43.4705,139703,15.0688,362813,0.57
876.18,24.8992,40.1619,162369,16.9293,433489,0.59
2882.51,26.9839,37.0592,286737,27.0481,709486,0.64
234.35,24.5331,40.7613,99433,11.5903,299210,0.53
129670.65,35.206,28.4043,1676539,121.181,2520911,0.75
123.87,23.5102,42.5348,82767,10.3021,222920,0.5
8631.82,29.2964,34.1339,519953,45.1466,989962,0.68
57.39,20.793,48.0932,64202,8.79841,151339,0.43
92837.17,34.8191,28.7198,1399385,104.525,2345615,0.74
114.06,21.5654,46.3707,77866,9.83032,209428,0.49
104420.61,34.0752,29.3469,1180566,90.451,1831556,0.73
52.59,20.9823,47.6593,58548,8.16797,144655,0.41
331.01,23.7431,42.1174,107942,12.2189,335727,0.55
663.24,23.7725,42.0654,148441,15.8845,426514,0.58
304.79,23.0692,43.3478,105409,12.1188,300559,0.54
996.69,24.954,40.0737,176355,17.9862,464072,0.6
21739.02,30.4137,32.8799,708393,59.0278,1344462,0.7
180.86,22.7383,43.9786,96123,11.4025,260997,0.52
12948.48,29.608,33.7747,602604,51.2811,1170669,0.69
88.13,23.4115,42.714,74722,9.56013,201156,0.48
24838.38,31.6005,31.6451,835553,67.454,1579400,0.71
415.14,24.4635,40.8772,123186,13.6706,352989,0.56
6278.09,28.8519,34.6597,387868,34.9431,848580,0.66
55.15,21.379,46.775,52220,7.40289,137674,0.4
1208.13,25.4892,39.2323,195933,19.6937,510386,0.61
62.31,22.075,45.3001,62382,8.27567,158214,0.45
6267.37,29.8876,33.4587,448409,39.4692,946650,0.67
