rent_exp,time,cpd,fmax,total_wirelength,average_net_length,estimate_distance_1,estimate_distance_2,packing_time,routing_time,placement_time,fpga_size,fpga_area
0.4,55.15,21.379,46.775,52220,7.40289,137674,42102,4.96,23.38,1.5,39 x 29,1131
0.41,52.59,20.9823,47.6593,58548,8.16797,144655,45500,4.73,22.93,1.38,39 x 29,1131
0.42,52.21,20.255,49.3705,62127,8.69274,150332,48291,4.5,23.7,1.42,39 x 29,1131
0.43,57.39,20.793,48.0932,64202,8.79841,151339,51016,4.75,27.08,1.56,39 x 29,1131
0.44,51.98,20.845,47.9731,63142,8.48455,153036,47835,4.57,23.28,1.49,39 x 29,1131
0.45,62.31,22.075,45.3001,62382,8.27567,158214,48597,4.86,28.54,1.59,41 x 30,1230
0.46,69.67,21.4516,46.6166,68995,9.07829,171913,53131,4.65,34.23,1.54,44 x 33,1452
0.47,82.64,22.389,44.6647,69041,8.95938,182752,53867,4.86,38.58,1.77,48 x 36,1728
0.48,88.13,23.4115,42.714,74722,9.56013,201156,56161,4.6,43.53,1.8,52 x 39,2028
0.49,114.06,21.5654,46.3707,77866,9.83032,209428,60530,4.88,57.13,1.93,57 x 42,2394
0.5,123.87,23.5102,42.5348,82767,10.3021,222920,64139,4.68,60.42,2.03,61 x 45,2745
0.51,166.58,23.2125,43.0803,91552,11.0798,239036,68367,5.04,90.57,2.21,67 x 50,3350
0.52,180.86,22.7383,43.9786,96123,11.4025,260997,72907,4.84,91.86,2.3,73 x 54,3942
0.53,234.35,24.5331,40.7613,99433,11.5903,299210,78755,5.2,112.45,2.45,79 x 59,4661
0.54,304.79,23.0692,43.3478,105409,12.1188,300559,83731,5.27,149.37,2.84,86 x 64,5504
0.55,331.01,23.7431,42.1174,107942,12.2189,335727,89408,5.16,154.96,2.83,94 x 70,6580
0.56,415.14,24.4635,40.8772,123186,13.6706,352989,100582,5.68,216.62,3.07,102 x 76,7752
0.57,553.23,23.0041,43.4705,139703,15.0688,362813,112115,6.02,289.64,3.39,112 x 83,9296
0.58,663.24,23.7725,42.0654,148441,15.8845,426514,121595,6.01,308.43,3.54,123 x 91,11193
0.59,876.18,24.8992,40.1619,162369,16.9293,433489,135032,6.86,430.82,4.02,134 x 99,13266
0.6,996.69,24.954,40.0737,176355,17.9862,464072,152609,7.28,493.63,4.2,147 x 109,16023
0.61,1208.13,25.4892,39.2323,195933,19.6937,510386,172278,8.68,578.41,4.3,160 x 119,19040
0.62,1520.07,26.4005,37.8781,224442,22.0517,586971,197075,10.6,701.22,4.93,176 x 130,22880
0.63,2298.06,27.0821,36.9248,246330,23.9831,640760,224090,12.2,1194.34,5.14,193 x 143,27599
0.64,2882.51,26.9839,37.0592,286737,27.0481,709486,261908,14.17,1628.82,5.67,212 x 157,33284
0.65,4549.24,27.3197,36.6036,336301,31.2112,697831,305334,18.75,2994.06,6.35,232 x 172,39904
0.66,6278.09,28.8519,34.6597,387868,34.9431,848580,355634,23.14,4394.15,6.33,254 x 188,47752
0.67,6267.37,29.8876,33.4587,448409,39.4692,946650,414869,30.84,3862.42,8.09,279 x 207,57753
0.68,8631.82,29.2964,34.1339,519953,45.1466,989962,484964,43.72,5530.63,8.68,306 x 227,69462
0.69,12948.48,29.608,33.7747,602604,51.2811,1170669,576318,58.63,9180.94,9.44,337 x 250,84250
0.7,21739.02,30.4137,32.8799,708393,59.0278,1344462,680351,85.61,17417.3,9.38,370 x 274,101380
0.71,24838.38,31.6005,31.6451,835553,67.454,1579400,809023,119.43,19640.2,10.88,406 x 301,122206
0.72,42867.76,33.8107,29.5764,993461,78.8524,1698747,957510,168.92,36305.82,11.6,446 x 330,147180
0.73,104420.61,34.0752,29.3469,1180566,90.451,1831556,1146355,249.17,95871.17,14.78,490 x 363,177870
0.74,92837.17,34.8191,28.7198,1399385,104.525,2345615,1371137,349.74,81692.61,14.97,539 x 399,215061
0.75,129670.65,35.206,28.4043,1676539,121.181,2520911,1639513,521.1,116640.25,13.47,592 x 439,259888
